     Epoch   gpu mem train_box train_obj train_cls train_total  labels  img_size Precision    Recall  mAP0.5  mAP0.5:0.95  val_box   val_obj   val_cls
     49/99     4.67G   0.03806   0.01432         0   0.05238        23       640    0.7799     0.615     0.694    0.4065    0.0532   0.02162         0
     50/99     4.67G   0.03816   0.01449         0   0.05265        33       640    0.7779    0.6209    0.6939    0.4106   0.05267   0.02175         0
     51/99     4.67G   0.03795   0.01454         0   0.05249        19       640    0.7992    0.6109    0.6976     0.412   0.05291   0.02159         0
     52/99     4.67G   0.03761   0.01409         0    0.0517        18       640    0.8206    0.5984    0.6981    0.4155   0.05275    0.0216         0
     53/99     4.67G   0.03752   0.01417         0   0.05169        28       640    0.7934    0.6198    0.7032    0.4179   0.05216   0.02154         0
     54/99     4.67G   0.03749   0.01421         0    0.0517        22       640    0.8022    0.6147    0.7022    0.4174   0.05236   0.02159         0
     55/99     4.67G   0.03697   0.01401         0   0.05098        21       640    0.8111    0.6116    0.7069    0.4213   0.05248    0.0216         0
     56/99     4.67G   0.03742   0.01448         0   0.05191        33       640    0.5873    0.6048    0.4781    0.2671   0.05305   0.02595         0
     57/99     4.67G   0.03748   0.01426         0   0.05175         9       640    0.7891    0.6321    0.7102    0.4261   0.05203    0.0216         0
     58/99     4.67G   0.03689   0.01418         0   0.05107        31       640    0.7852    0.6318    0.7102     0.427   0.05187   0.02157         0
     59/99     4.67G   0.03685   0.01412         0   0.05097        24       640      0.79    0.6348     0.713    0.4274   0.05139   0.02177         0
     60/99     4.67G   0.03679    0.0143         0   0.05109        15       640    0.7995    0.6291    0.7109    0.4261   0.05135   0.02167         0
     61/99     4.67G   0.03674   0.01422         0   0.05095        28       640    0.7878    0.6425    0.7179    0.4327   0.05101   0.02178         0
     62/99     4.67G   0.03653   0.01414         0   0.05067        34       640    0.7885     0.643    0.7204    0.4353   0.05109   0.02172         0
     63/99     4.67G    0.0363    0.0141         0    0.0504        24       640    0.8096     0.635    0.7213    0.4366   0.05103   0.02174         0
     64/99     4.67G   0.03614   0.01408         0   0.05021        20       640    0.8241    0.6257    0.7232    0.4392    0.0507   0.02173         0
     65/99     4.67G   0.03602   0.01388         0   0.04991        44       640    0.8078    0.6369    0.7224    0.4389   0.05067   0.02171         0
     66/99     4.67G   0.03615   0.01392         0   0.05007        19       640    0.8137    0.6385     0.727    0.4419   0.05069   0.02166         0
     67/99     4.67G    0.0363     0.014         0    0.0503        21       640    0.8037    0.6352    0.7202    0.4381   0.05074   0.02182         0
     68/99     4.67G   0.03577   0.01397         0   0.04974        32       640    0.7946    0.6534    0.7269    0.4424   0.05034   0.02184         0
     69/99     4.67G    0.0356   0.01381         0   0.04942        41       640    0.7944    0.6531    0.7289    0.4456   0.05002   0.02192         0
     70/99     4.67G   0.03564   0.01388         0   0.04951        42       640    0.7993    0.6566    0.7322    0.4476   0.05006   0.02182         0
     71/99     4.67G   0.03555    0.0139         0   0.04945        29       640     0.799     0.657    0.7326    0.4487   0.05018   0.02176         0
     72/99     4.67G   0.03522   0.01384         0   0.04906        28       640    0.8567    0.6209    0.7326    0.4506   0.05001   0.02181         0
     73/99     4.67G   0.03522   0.01401         0   0.04923        62       640    0.8471     0.629    0.7347    0.4514   0.04992   0.02187         0
     74/99     4.67G    0.0352   0.01373         0   0.04893        27       640    0.8191    0.6432     0.734    0.4529   0.04984   0.02183         0
     75/99     4.67G   0.03526    0.0136         0   0.04886        18       640    0.8011    0.6558    0.7359    0.4552   0.04968   0.02185         0
     76/99     4.67G   0.03515   0.01366         0   0.04882        31       640     0.795    0.6621    0.7382     0.457   0.04957   0.02184         0
     77/99     4.67G   0.03514   0.01368         0   0.04881        34       640    0.8203    0.6466    0.7393    0.4584   0.04954    0.0218         0
     78/99     4.67G   0.03588   0.01394         0   0.04982        28       640     0.833    0.6326    0.7299    0.4507   0.05025   0.02193         0
     79/99     4.67G   0.03523   0.01388         0   0.04911        27       640    0.8197    0.6449    0.7349    0.4549   0.04993   0.02188         0
     80/99     4.67G   0.03519   0.01366         0   0.04885        15       640    0.8468    0.6317    0.7373    0.4579   0.04977   0.02183         0
     81/99     4.67G   0.03465   0.01359         0   0.04824        17       640    0.8307    0.6438    0.7392    0.4597   0.04954   0.02186         0
     82/99     4.67G   0.03474   0.01364         0   0.04838        15       640    0.8216    0.6498    0.7407    0.4615   0.04938   0.02189         0
     83/99     4.67G   0.03484   0.01362         0   0.04846        18       640    0.8105    0.6602    0.7423    0.4624   0.04926   0.02186         0
     84/99     4.67G   0.03471   0.01366         0   0.04837        34       640     0.832    0.6493    0.7437    0.4636   0.04916   0.02184         0
     85/99     4.67G    0.0343   0.01343         0   0.04773        48       640    0.8344    0.6469    0.7423    0.4634   0.04911   0.02186         0
     86/99     4.67G   0.03466   0.01359         0   0.04825        20       640    0.8369    0.6482    0.7446    0.4651    0.0491   0.02185         0
     87/99     4.67G   0.03412   0.01337         0   0.04749        22       640    0.8344    0.6501    0.7466    0.4671   0.04909   0.02181         0
     88/99     4.67G   0.03389   0.01342         0   0.04732        16       640    0.8292    0.6534    0.7473     0.467   0.04908   0.02184         0
     89/99     4.67G   0.03447   0.01337         0   0.04784         7       640    0.8368    0.6523    0.7493    0.4688   0.04902   0.02182         0
     90/99     4.67G   0.03399   0.01345         0   0.04744        32       640    0.8334    0.6535    0.7473    0.4682   0.04896   0.02186         0
     91/99     4.67G     0.034   0.01342         0   0.04742        22       640    0.8391    0.6488    0.7478    0.4693   0.04892   0.02186         0
     92/99     4.67G   0.03408   0.01339         0   0.04747         8       640    0.8237    0.6613    0.7499    0.4699   0.04886   0.02188         0
     93/99     4.67G   0.03378   0.01325         0   0.04703        17       640    0.8189    0.6658    0.7488      0.47    0.0488   0.02193         0
     94/99     4.67G    0.0338   0.01336         0   0.04716        26       640    0.8196    0.6677    0.7505    0.4705   0.04879   0.02192         0
     95/99     4.67G   0.03387   0.01354         0    0.0474         9       640    0.8263    0.6624    0.7496    0.4706   0.04878   0.02191         0
     96/99     4.67G   0.03365   0.01325         0    0.0469        21       640    0.8369    0.6571    0.7504    0.4723   0.04872    0.0219         0
     97/99     4.67G   0.03353    0.0132         0   0.04672        51       640    0.8273    0.6659    0.7508    0.4714   0.04871   0.02192         0
     98/99     4.67G   0.03406   0.01328         0   0.04734        16       640    0.8281    0.6656    0.7514    0.4706   0.04868   0.02193         0
     99/99     4.67G   0.03376   0.01339         0   0.04715        15       640    0.8266    0.6676    0.7504    0.4705   0.04865   0.02193         0
